1 (4)	Sir Leonard Blavatnik	£23bn	£7.219bn	Investment, music and media
2 (2=)	David and Simon Reuben	£21.465bn	£5.465bn	Property and internet
3 (2=)	Sri and Gopi Hinduja and family	£17bn	£1bn	Industry and finance
4 (1)	Sir James Dyson and family	£16.3bn	£100m	Household goods and technology:Dyson
5 (19)	Lakshmi Mittal and family	£14.68bn	£7.899bn	Steel: ArcelorMittal
6 (7)	Alisher Usmanov	£13.406bn	£1.726bn	Mining and investment
7 (6)	Kirsten and Jorn Rausing	£13bn	£900m	Inheritance and investment: Tetra Laval
8 (12)	Roman Abramovich	£12.101bn	£1.945bn	Oil and industry
9 (9)	Charlene de Carvalho-Heineken and Michel de Carvalho	£12.013bn	£1.713bn	Inheritance, brewing and banking
10 (8)	Guy, George, Alannah and Galen Weston and family	£11bn	£470m	Retailing
11 (11)	Mikhail Fridman	£10.797bn	£563m	Industry: Alfa Group and LetterOne
12 (10)	The Duke of Westminster and the Grosvenor family	£10.054bn	£241m	Property
13 (13)	Marit, Lisbet, Sigrid and Hans Rausing	£9.49bn	£100m	Inheritance: Tetra Laval
14 (14)	Ernesto and Kirsty Bertarelli	£9.2bn	No change	Pharmaceuticals
15 (15)	Anil Agarwal	£9bn	£500m	Mining: Vedanta Resources
16 (21)	François-Henri Pinault and Salma Hayek	£8.675bn	£2.083bn	Fashion and films: Kering
17 (16)	Denise, John and Peter Coates	£8.448bn	£1.282bn	Gambling: Bet365
18 (24)	Michael Platt	£8bn	£3.141bn	Hedge fund
19 (20)	John Fredriksen and family	£7.831bn	£1.206bn	Shipping and oil services
20 (New)	German Khan	£7.167bn	New entry	Industry: Alfa Group and LetterOne
21 (25)	Barnaby and Merlin Swire and family	£6.5bn	£1.7bn	Industry, transport and property
22 (33)	Sir Henry Keswick and family	£6.471bn	£2.471bn	Property, retailing and hotels
23 (29)	Stephen Rubin and family	£6.394bn	£2.169bn	Sportswear: Pentland and JD Sports
24 (18)	Earl Cadogan and family	£6.37bn	£447m	Property
25 (5)	Sir Jim Ratcliffe	£6.33bn	£5.82bn 	Chemicals: Ineos
26 (New)	Denis Sverdlov	£6.173bn	New entry	Electric vehicles: Arrival
27 (36)	Ian and Richard Livingstone	£6.1bn	£2.2bn	Property and gambling: Evolution
28= (26)	Anders Povlsen	£6bn	£1.27bn	Fashion: Bestseller and Asos
28= (17)	The Barclay family	£6bn	£1bn	Property, media and internet retailing
30 (22)	John Grayken	£5.87bn	£179m	Property and investment
31 (23)	Nicky Oppenheimer and family	£5.797bn	£197m	Diamonds and mining
32 (New)	Igor and Dmitry Bukhman	£5.652bn	New entry	Games: Playrix
