1 (5)	Sir James Dyson and family	£16.2bn	£3.6bn	Household goods and Technology
2= (1)	Sri and Gopi Hinduja and family	£16bn	£6bn	Industry and Finance
2= (2)	David and Simon Reuben	£16bn	£2.664bn	Property and Internet
4 (4)	Sir Leonard Blavatnik	£15.781bn	£1.411bn	Investment, Music and Media
5 (3)	Sir Jim Ratcliffe	£12.15bn	£6bn	Chemicals
6 (6)	Kirsten and Jorn Rausing	£12.1bn	£156m	Inheritance and Investment
7 (8)	Alisher Usmanov	£11.68bn	£341m	Mining and Investment
8 (13)	Guy, George and Galen Jr Weston and family	£10.53bn	£30m	Retailing
9 (7)	Charlene de Carvalho-Heineken and Michel de Carvalho	£10.3bn	£1.7bn Inheritance,Brewing and Banking
10 (14)	The Duke of Westminster and the Grosvenor family	£10.295bn	£195m	Property
11 (10)	Mikhail Fridman	£10.234bn	£666m	Industry
12 (9)	Roman Abramovich	£10.156bn	£1.065bn	Oil and Industry
13 (16)	Marit Rausing and family	£9.59bn	£16m	Packaging
14 (15)	Ernesto and Kirsty Bertarelli	£9.2bn	£511m	Pharmaceuticals
15 (12)	Anil Agarwal	£8.5bn	£2.07bn	Mining
16 (19)	Denise, John and Peter Coates	£7.166bn	£310m	Gambling
17 (17)	Sir David and Sir Frederick Barclay	£7bn	£1bn	Property, Media and Internet retailing
18 (20)	Earl Cadogan and family	£6.817bn	£33m	Property
19 (11)	Lakshmi Mittal and family	£6.781bn	£3.888bn	Steel
20 (18)	John Fredriksen and family	£6.625bn	£918m	Shipping and Oil services
21 (21)	François-Henri Pinault and Salma Hayek	£6.592bn	£250m	Fashion and Films
22 (28)	John Grayken	£5.691bn	£628m	Property and Investment
23 (25)	Nicky Oppenheimer and family	£5.6bn	£61m	Diamonds and Mining
24 (38)	Michael Platt	£4.859bn	£1.159bn	Hedge fund
25 (27)	Barnaby and Merlin Swire and family	£4.8bn	£280m	Industry, Transport and Property
26	Anders Povlsen	£4.73bn	New entry	Fashion
27 (33)	Lord Bamford and family	£4.7bn	£550m	Construction equipment
28 (32)	Baroness Howard de Walden and family	£4.316bn	£126m	Property
29 (50=)	Stephen Rubin and family	£4.225bn	£1.225bn	Sportswear
30= (23=)	Andy Currie	£4.1bn	£2bn	Chemicals
30= (23=)	John Reece	£4.1bn	£2bn	Chemicals
30= (40)	Tom Morris and family	£4.1bn	£510m	Discount stores
33 (22)	Sir Henry Keswick and family	£4bn	£2.35bn	Property, Retailing and Hotels
